,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg,ID.1,Epoche,dtm_Ivis_1,dtm_Ivis_2,dtm_Ivis_balladen_sup_1,dtm_Ivis_balladen_sup_2,sonett,dtm_Ivis_sonett_1,dtm_Ivis_sonett_2,bert_Ivis_sonett_1,bert_Ivis_sonett_2,bert_Ivis_sonett_sup_1,bert_Ivis_sonett_sup_2,bert_Ivis_1,bert_Ivis_2,bert_Ivis_sup_1,bert_Ivis_sup_2,dtm_Ivis_sup_1,dtm_Ivis_sup_2
4874,l0080022,Im Himmel,"Herold, Franz",4,4,"Das lyrische Wien. Eine moderne Lese. Mit Dichtungen von Ferdinand von Saar, J. J. David, Franz Herold, Hermann Hango, Josef Kitir, Felix Dörmann, Freiherr Carl von Levetzow, Arnold Hagenauer, Paul Wilhelm, Carl Maria Klob, Hugo von Hofmannsthal. Wien/Berlin/Leipzig 1899.",1899,"Renner, August",l0080022,Moderne,0.25028193,-2.3815355,-3.423608,1.3905238000000002,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-0.4872594,0.35363778,0.66580266,0.23618291,1.0133716999999998,-0.012211073000000001
2818,l0020079,Im Spiegel.,Robert Hamerling.,4,3,Deutsche Dichter der Gegenwart.,1859,"Prutz, Robert",l0020079,Realismus,2.029546,0.025165554,-3.7457674,0.8516529,sonett,2.029546,0.025165554,1.9685256481170652,-1.1127442121505735,-2.246096134185791,1.3581867218017578,1.196009,-0.088848665,0.84483725,1.1151053999999998,-1.768125,1.3589306
3854,l0040194,Im Spiegel.,Robert Hamerling.,4,3,Anthologie Deutscher Lyriker seit 1850,1865,"Kneschke, Emil",l0040194,Realismus,2.1594355,-0.13816999,-3.7542698,0.8462455,sonett,2.1594355,-0.13816999,4.502954006195068,-0.7211008667945862,-2.829761028289795,-0.8729885816574097,-1.1385412,1.8182813999999998,-0.7911713,-0.30886847,-1.8206102,1.4478983
746,l00110017,In der Fremde,"Bartels, Adolf",2,7,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",1904,"Benzmann, Hans",l00110017,Moderne,2.5327845,-0.6444472,-4.6117024,3.239824,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-0.21614209,1.2849574,0.9727548,-1.0806198999999999,-0.7356819,1.7995752
4952,l0090007,In der Fremde,"Bartels, Adolf",2,7,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,1899,"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]",l0090007,Moderne,2.5327845,-0.6444472,-4.6117024,3.239824,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-2.2448217999999995,2.7895339,-0.8439878000000001,-1.9377262999999998,-0.7356819,1.7995752
4446,l0050171,In dieser Stunde.,Robert Prutz.,3,8,Blüthenzweige deutscher Lyrik nach Goethe,1875,"Willatzen, Peter Johann",l0050171,Realismus,2.6524546,0.35304305,-4.5053915999999985,0.56699514,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-4.3394237,2.7601514,-2.2633057,-2.6178833999999997,-1.664323,1.3482491
3410,l0030326,In dieser Stunde.,Robert Prutz.,3,8,Dichtergrüsse. Neuere deutsche Lyrik,1861,"Polko, Elise",l0030326,Realismus,2.6619925,0.32054156,-4.447794,0.56950724,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-4.3169246,2.8354367999999996,-2.2872117000000003,-2.5599291,-1.6551912,1.3382215
1111,l00110382,In einer Winternacht,"Liliencron, Detlev von [alt. Liliencron, Detlev Frhr. von; Liliencron, Detlev Freiherr von]",3,12,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",1904,"Benzmann, Hans",l00110382,Moderne,0.17816406,-3.2350438,-2.8877199,0.68998474,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-0.9186491,-2.0746052,3.0782783,0.88129425,1.2836313,0.10899156
149,l00100138,In einer Winternacht,"Liliencron, Detlev von [alt. Liliencron, Detlev Frhr. von; Liliencron, Detlev Freiherr von]",4,12,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",1898,"Gemmel, Ludwig",l00100138,Moderne,0.21445912,-3.2070967999999995,-2.8890703,0.6831569000000001,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-1.420595,-1.8583121,2.582937,1.0441467,1.2543178,0.12318298
3681,l0040021,Innere Kraft.,Otto Banck.,4,4,Anthologie Deutscher Lyriker seit 1850,1865,"Kneschke, Emil",l0040021,Realismus,-0.38991845,0.9754069,-3.539747,3.727426,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-2.2406514,4.697636,-2.3964922000000004,-1.3804475,-1.2593063,-0.00846507
